PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
68,10/3/21,14:59:54,3,2,"Humenay, Justin",1000092193,Right,VCU_RAM,"Nippolt, Ben",1000113014,Left,VCU_RAM,Undefined,2,Bottom,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.51459,-1.678605,-2.443063,2476.597635,204.944587,12:45,5.2505,1.56819,5.60688,-16.15111,18.43178,8.04713,2.33582,-0.04305,82.49896,-4.744421,-1.008086,0.423255,,,,,,,,,,,,-4.73929,10.12682,-1.36438,50,5.09652,5.23567,-131.23987,-4.34052,-8.2542,28.13766,-14.53662,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,175035c0-247c-11ec-8991-0d548696f4f1,89.05371,,,8.01563,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,18:59:54,2021-10-03T14:59:53.9570000-04:00,2021-10-03T18:59:53.9570000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,d0428fc3-30ff-4999-a284-3ffbb56fc478,54.88892,-132.2839,14.06883,5.24756,-3.80115,-7.26831,-1.56432,5.54193,-4.1271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
69,10/3/21,15:00:10,3,3,"Humenay, Justin",1000092193,Right,VCU_RAM,"Nippolt, Ben",1000113014,Left,VCU_RAM,Undefined,2,Bottom,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.87841,-3.078165,-2.45478,2462.360253,219.557058,1:15,5.40294,1.64086,5.71322,-18.01769,16.16603,12.43261,1.02849,0.38868,83.09754,-6.464942,-0.231951,0.420805,,,,,,,,,,,,-7.00225,9.41713,-1.4432,50,5.13394,5.09848,-131.70383,-7.66351,-12.29386,28.08299,-15.64039,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,21223f80-247c-11ec-8991-0d548696f4f1,89.57217,,,7.78086,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:00:10,2021-10-03T15:00:10.2950000-04:00,2021-10-03T19:00:10.2950000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,58cc51ae-c21a-4d24-bdb1-64035e2ca4a8,54.78423,-132.72004,14.0415,5.40101,-7.09754,-7.8202,-1.63574,5.54335,-6.14693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
70,10/3/21,15:00:24,3,4,"Humenay, Justin",1000092193,Right,VCU_RAM,"Nippolt, Ben",1000113014,Left,VCU_RAM,Undefined,2,Bottom,0,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.65935,-1.156693,-2.1657,2488.8486,213.558939,1:00,5.35149,1.65122,5.78725,-17.35269,16.94217,10.48142,2.82845,0.50898,82.41639,-4.453917,-0.289509,0.421489,81.37774,41.089748,-46.703213,4185.51698,64.44847,72.51178,-89.14255,266.06305,,-60.365474,4.289381,-5.97347,9.31351,-1.47914,50,5.24587,4.51566,-131.52866,-3.18749,-10.41384,29.15124,-15.93734,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,29739cb0-247c-11ec-8991-0d548696f4f1,89.4269,77.23221,,8.24296,,,,-0.4779,2.57671,-0.69209,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:00:24,2021-10-03T15:00:24.3850000-04:00,2021-10-03T19:00:24.3850000Z,FlyBall,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,c8d91913-0d0a-4fa8-ad45-95cef2eb4183,54.70954,-132.56835,14.57562,5.34942,-2.61908,-7.96867,-1.64682,4.88707,-5.20692,,-0.47792,61.69071,-17.98856,5.187,-1.35931,0.38697,-0.09031,0.01237,-0.0007,2.57714,78.43459,-24.04476,2.26381,-0.25324,-0.02138,0.01099,-0.00103,0,-0.69178,-65.47792,6.28184,-1.67629,0.44193,-0.13094,0.03082,-0.00413,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
71,10/3/21,15:00:54,3,5,"Humenay, Justin",1000092193,Right,VCU_RAM,"Nippolt, Ben",1000113014,Left,VCU_RAM,Undefined,2,Bottom,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.64703,-0.146954,-2.242203,1777.512073,250.341933,2:15,4.88486,1.74022,5.87548,-35.31329,6.39437,14.41627,1.8055,0.85806,75.23237,-6.670372,0.345075,0.464814,,,,,,,,,,,,-7.97382,3.6954,-1.56733,50,4.85245,4.09108,-118.63575,-1.43187,-11.42457,21.56598,-26.87942,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,3b60d870-247c-11ec-8991-0d548696f4f1,81.09143,,,6.41466,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:00:54,2021-10-03T15:00:54.4700000-04:00,2021-10-03T19:00:54.4700000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,3c455703-e82e-4e0c-b374-8681c30d3ef6,54.62365,-119.47329,10.78299,4.88779,-0.38797,-13.43971,-1.73482,4.53477,-5.71229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
72,10/3/21,15:01:12,3,6,"Humenay, Justin",1000092193,Right,VCU_RAM,"Nippolt, Ben",1000113014,Left,VCU_RAM,Undefined,2,Bottom,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,89.37671,-2.983536,-2.90286,2420.86183,203.998459,12:45,5.31852,1.58898,6.106,-19.02379,15.68245,6.4989,0.9682,-0.55611,82.08858,-6.566994,-1.733328,0.424009,,,,,,,,,,,,-4.1076,9.21875,-1.36907,50,5.07877,6.30006,-129.58879,-7.32509,-7.01126,26.12573,-16.4386,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,45c0ca50-247c-11ec-8991-0d548696f4f1,88.89535,,,7.28813,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:01:12,2021-10-03T15:01:11.8810000-04:00,2021-10-03T19:01:11.8810000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,96d11452-be3f-451e-abf1-dcf0302552b6,54.39044,-130.47093,13.06286,5.31673,-6.77004,-8.2193,-1.58578,6.53679,-3.50563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
73,10/3/21,15:02:18,4,1,"Humenay, Justin",1000092193,Right,VCU_RAM,"Mathis, AJ",1000113011,Left,VCU_RAM,Undefined,2,Bottom,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,87.3922,-0.392806,-2.342303,2329.029377,221.447964,1:30,5.19792,1.67218,5.95173,-21.96541,14.2395,11.64453,3.00286,0.46904,80.47238,-4.512113,-0.251649,0.433067,71.18146,80.19807,-160.716044,5020.526211,,,,210.52978,,-131.460244,5.586812,-6.61552,7.745,-1.49261,50,5.15428,4.73008,-127.01458,-1.55438,-10.89549,24.02427,-19.41835,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,6d4dc280-247c-11ec-8991-0d548696f4f1,87.03603,33.47254,,6.91982,,,,1.5894,3.20442,-0.43554,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:02:18,2021-10-03T15:02:18.2830000-04:00,2021-10-03T19:02:18.2830000Z,Popup,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,a3730659-a255-4eb0-ad49-66fffdfb64a1,54.5478,-127.87189,12.01213,5.19738,-0.86144,-9.70918,-1.66834,5.11888,-5.44774,359.367726,1.5894,-16.77602,-6.93133,2.49428,-0.68951,0.27306,-0.39892,0.58836,-0.38646,3.20442,102.8753,-28.18183,3.93728,-0.84425,0.35532,-0.67881,1.04523,-0.69145,-0.43554,-5.86961,-3.02767,-1.05871,0.48153,-0.10422,-0.13944,0.27098,-0.18352,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
74,10/3/21,15:02:49,4,2,"Humenay, Justin",1000092193,Right,VCU_RAM,"Mathis, AJ",1000113011,Left,VCU_RAM,Undefined,2,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.83557,0.823353,-3.16028,2210.786784,199.37831,12:45,5.15435,1.74422,5.91266,-17.50918,20.04391,6.58489,4.46063,-0.64308,78.18179,-2.551683,-1.981208,0.441057,,,,,,,,,,,,-4.32721,10.34489,-1.49419,50,5.21047,6.66313,-125.76911,1.34897,-6.84585,28.43121,-15.8079,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,7fbc8a50-247c-11ec-8991-0d548696f4f1,85.45943,,,8.65379,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:02:49,2021-10-03T15:02:49.1360000-04:00,2021-10-03T19:02:49.1360000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,276a15bf-c5f1-402e-a362-063c03331e7e,54.58064,-126.80038,14.21561,5.15114,1.92236,-7.90395,-1.74038,6.91144,-3.42292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
75,10/3/21,15:03:07,4,3,"Humenay, Justin",1000092193,Right,VCU_RAM,"Mathis, AJ",1000113011,Left,VCU_RAM,Undefined,2,Bottom,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.35427,-2.168748,-3.659275,2339.538134,199.744756,12:45,5.19065,1.72842,5.87189,-14.88332,20.57592,6.93957,1.93093,-1.09671,80.92113,-5.037523,-2.418333,0.428584,,,,,,,,,,,,-4.6302,11.5115,-1.43598,50,5.00618,7.96939,-129.33422,-5.29898,-7.77663,29.09546,-12.83988,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,8a6ac340-247c-11ec-8991-0d548696f4f1,87.94644,,,8.43314,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:03:07,2021-10-03T15:03:07.0500000-04:00,2021-10-03T19:03:07.0500000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,7d3e4d8c-7436-4700-8dec-69edba3869ad,54.6229,-130.37006,14.54773,5.1867,-4.84186,-6.41994,-1.72463,8.24625,-3.88832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
76,10/3/21,15:03:25,4,4,"Humenay, Justin",1000092193,Right,VCU_RAM,"Mathis, AJ",1000113011,Left,VCU_RAM,Undefined,2,Bottom,0,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,87.04282,-1.244813,-3.113855,2335.235396,222.197672,1:30,5.03953,1.65622,5.98763,-20.60064,16.73249,13.93383,2.16723,-0.07138,78.41845,-5.172216,-0.61247,0.439763,99.24169,22.995417,35.647288,2538.051205,85.89099,41.84523,68.72196,361.47408,,46.356377,4.217897,-8.19189,9.39563,-1.41823,50,4.93003,6.29268,-126.11576,-3.34003,-12.98832,29.37202,-17.27723,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,95381cf0-247c-11ec-8991-0d548696f4f1,85.71083,56.87029,,8.62437,,,,2.04021,2.06217,0.28724,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:03:25,2021-10-03T15:03:25.1910000-04:00,2021-10-03T19:03:25.1910000Z,FlyBall,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,891bbb35-2fab-4a13-89c2-2243fc49aeb9,54.50901,-127.16155,14.68601,5.038,-2.72486,-8.63862,-1.65052,6.75514,-6.49416,,2.03902,108.91622,-25.20174,6.53059,-1.63103,0.39754,-0.08478,0.01178,-0.00071,2.06391,56.81289,-15.26118,-0.19801,0.547,-0.26619,0.07511,-0.01084,0.00061,0.28717,78.08849,-5.13302,0.13649,0.06608,0.01791,-0.01555,0.00341,-0.00025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
77,10/3/21,15:04:00,4,5,"Humenay, Justin",1000092193,Right,VCU_RAM,"Mathis, AJ",1000113011,Left,VCU_RAM,Undefined,2,Bottom,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.60728,3.962359,1.855725,1566.410494,243.956095,2:15,4.8747,1.89872,5.44598,-36.21022,7.77654,13.14934,5.57482,4.73252,73.38579,-2.716546,4.188327,0.477345,,,,,,,,,,,,-5.9678,3.2798,-2.07124,50,5.201,-4.33936,-116.64938,6.868,-8.22297,21.93652,-27.6548,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,a9e90c90-247c-11ec-8991-0d548696f4f1,78.96265,,,7.2215,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:04:00,2021-10-03T15:03:59.8890000-04:00,2021-10-03T19:03:59.8890000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,690621bc-5ab5-4d1f-96c9-7bfae1ece95e,55.04792,-117.59484,10.96826,4.8793,8.05991,-13.8274,-1.89185,-3.98495,-4.11149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
78,10/3/21,15:04:32,4,6,"Humenay, Justin",1000092193,Right,VCU_RAM,"Mathis, AJ",1000113011,Left,VCU_RAM,Undefined,2,Bottom,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,88.97908,1.142463,-2.852488,2345.794527,214.246228,1:15,5.1601,1.63264,6.10212,-20.31411,14.78741,9.30835,4.52526,-0.23181,80.98276,-2.712281,-1.178656,0.426417,,,,,,,,,,,,-5.5728,7.62965,-1.41784,50,5.23726,6.04329,-129.10947,1.9768,-9.39437,27.2046,-19.31234,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,bcff10e0-247c-11ec-8991-0d548696f4f1,88.39342,,,7.99633,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:04:32,2021-10-03T15:04:31.9830000-04:00,2021-10-03T19:04:31.9830000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,070340a4-d1c2-46bf-9327-7aba3dced51b,54.39397,-130.03203,13.6023,5.15912,2.63171,-9.65617,-1.62818,6.36187,-4.69719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
79,10/3/21,15:04:59,5,1,"Humenay, Justin",1000092193,Right,VCU_RAM,"Haydak, Michael",1000080740,Right,VCU_RAM,Undefined,2,Bottom,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.41621,6.416701,1.688008,2270.612023,40.304667,7:15,5.18437,1.50716,5.07959,-63.19976,-10.7317,-10.47477,5.99444,2.22591,67.70917,-4.994644,-0.156605,0.521337,,,,,,,,,,,,5.5837,-6.42953,-1.65855,50,5.74493,-2.74377,-107.39574,9.87871,6.54016,18.09613,-39.70491,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,cd3fd520-247c-11ec-8991-0d548696f4f1,72.2995,,,6.70704,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:04:59,2021-10-03T15:04:59.1670000-04:00,2021-10-03T19:04:59.1670000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,60ee60ce-5e93-404c-b4e1-7bc37b3b0863,55.42159,-108.30542,9.04807,5.19817,11.87466,-19.85246,-1.51236,-3.07254,3.27008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
80,10/3/21,15:05:28,5,2,"Humenay, Justin",1000092193,Right,VCU_RAM,"Haydak, Michael",1000080740,Right,VCU_RAM,Undefined,2,Bottom,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,87.53154,0.070827,-2.259939,2353.463212,208.843831,1:00,5.13879,1.63487,5.87076,-19.82722,16.8071,8.59642,3.55236,0.25104,79.588,-3.690707,-0.719376,0.435628,,,,,,,,,,,,-5.04382,8.92871,-1.45694,50,5.1331,4.65297,-127.02512,-0.43312,-8.20894,26.96468,-17.6424,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,de565ff0-247c-11ec-8991-0d548696f4f1,86.52442,,,7.94354,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:05:28,2021-10-03T15:05:27.8600000-04:00,2021-10-03T19:05:27.8600000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,ecea3fca-280b-401d-8ae7-d21c40ccb1bd,54.62569,-128.00329,13.48234,5.13721,0.20687,-8.8212,-1.63113,4.95076,-4.10447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
81,10/3/21,15:05:54,5,3,"Humenay, Justin",1000092193,Right,VCU_RAM,"Haydak, Michael",1000080740,Right,VCU_RAM,Undefined,2,Bottom,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.69479,-0.195713,-3.029945,2318.707691,224.210363,1:30,5.10325,1.65704,6.02064,-21.94163,14.01213,12.593,3.09326,-0.10256,80.57381,-4.319273,-0.768162,0.431562,,,,,,,,,,,,-7.23103,7.58646,-1.42626,50,5.07585,6.22336,-127.35453,-1.10864,-11.96119,24.39725,-19.62492,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,ee350700-247c-11ec-8991-0d548696f4f1,87.33951,,,7.12098,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:05:54,2021-10-03T15:05:54.4850000-04:00,2021-10-03T19:05:54.4850000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,3d8c2529-68a4-4d95-8c0a-2a5f9d63aee2,54.47716,-128.20935,12.19863,5.10264,-0.42103,-9.81246,-1.65165,6.64245,-5.98059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
82,10/3/21,15:06:15,5,4,"Humenay, Justin",1000092193,Right,VCU_RAM,"Haydak, Michael",1000080740,Right,VCU_RAM,Undefined,2,Bottom,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,1,0,,77.01551,3.130331,-0.976086,2116.174509,35.212512,7:15,5.20064,1.3281,5.6721,-60.50342,-13.12367,-10.24371,3.08044,-0.43564,70.97129,-7.892496,-2.807312,0.495413,,,,,,,,,,,,4.92607,-7.05792,-1.23921,50,5.42678,2.29103,-111.85046,4.10736,6.25558,19.71606,-41.13686,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,fa2b9e70-247c-11ec-8991-0d548696f4f1,76.08281,,,6.04422,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:06:15,2021-10-03T15:06:14.5580000-04:00,2021-10-03T19:06:14.5580000Z,,v3,471479,471479,,"Selden, Jacob",1000113016,Right,VCU_RAM,b131818a-4806-447e-9753-6c7022591313,54.83085,-112.69879,9.85803,5.21197,5.87736,-20.56843,-1.332,2.02187,3.12779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
83,10/3/21,15:08:53,1,1,"Dressler, Cade",10027961,Left,VCU_RAM,"O'Bryan, Scott",1000113020,Right,VCU_RAM,Undefined,3,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.59795,-2.838714,3.518372,2236.671511,164.452955,11:30,6.01913,-1.90068,6.7926,-16.18371,18.24906,-4.77764,2.07245,0.91661,81.31609,-5.954466,2.648691,0.422335,70.19776,-9.207493,-55.876917,,,,,15.10841,,-52.536017,0.133183,3.49752,10.78949,1.67399,50,5.82816,-7.73146,-128.55705,-6.76611,5.86576,26.11432,-14.07874,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,5877c940-247d-11ec-8991-0d548696f4f1,89.24766,2.40186,,7.28185,,,,1.59692,2.19407,-0.78706,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:08:53,2021-10-03T15:08:52.7250000-04:00,2021-10-03T19:08:52.7250000Z,GroundBall,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,b70fe67c-0705-4327-8e94-66f7684880b9,53.70577,-129.30763,13.05716,6.01681,-6.36146,-7.03937,1.89863,-7.90006,2.93288,,1.59692,57.01163,,,,,,,,2.19407,-16.4741,,,,,,,,-0.78706,-84.13279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
84,10/3/21,15:09:10,1,2,"Dressler, Cade",10027961,Left,VCU_RAM,"O'Bryan, Scott",1000113020,Right,VCU_RAM,Undefined,3,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.65291,-4.682244,4.33329,1908.682815,120.981028,10:00,5.83055,-2.10762,6.36782,-28.58557,9.85406,-14.44965,-0.88198,0.68318,78.39512,-9.968506,1.720462,0.446232,,,,,,,,,,,,8.83634,6.71055,1.80115,50,5.47707,-8.77783,-122.47515,-10.89396,13.48964,23.04259,-21.92962,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,62fbe4f0-247d-11ec-8991-0d548696f4f1,84.46819,,,6.25779,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:09:10,2021-10-03T15:09:10.4490000-04:00,2021-10-03T19:09:10.4490000Z,,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,46405c20-7970-4347-95ff-dbf81622c7a1,54.13379,-123.25043,11.5213,5.83119,-10.15612,-10.96481,2.10412,-9.2317,6.74482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
85,10/3/21,15:09:23,1,3,"Dressler, Cade",10027961,Left,VCU_RAM,"O'Bryan, Scott",1000113020,Right,VCU_RAM,Undefined,3,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.28978,-0.005521,1.673386,2202.363206,144.920615,10:45,5.99891,-2.0231,6.50221,-18.49414,17.34741,-11.38237,4.45267,-1.43533,79.59401,-3.560866,-0.392246,0.430888,,,,,,,,,,,,6.37772,9.4091,1.91035,50,5.99003,-3.25998,-126.8627,-0.47865,10.37767,26.32869,-16.86383,VCU_RAM,VCU_RAM,TheDiamond,TeamExclusive,Team,20211003-TheDiamond-Private-2,6a889290-247d-11ec-8991-0d548696f4f1,87.47609,,,7.69577,,,,,,,643635ca-938a-427a-9baa-762d7f07aca5,10/3/21,19:09:23,2021-10-03T15:09:23.0970000-04:00,2021-10-03T19:09:23.0970000Z,,v3,471479,471479,,"Ericsson, Nic",1000075164,Right,VCU_RAM,9a7b0be5-3950-48c8-a031-db768afce1fa,53.99364,-127.68884,13.16434,5.99675,0.0505,-8.43191,2.01775,-3.58561,5.18884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
